id,cve_ent,nom_ent,actividad,X,Y,
G61,24,San Luis Potosí,Gasolineras,-100.91366780335532,22.155561301984914,
G62,24,San Luis Potosí,Gasolineras,-100.9423490698998,22.108438476655373,
G63,24,San Luis Potosí,Gasolineras,-101.01797908801403,22.1268532074494,
G64,24,San Luis Potosí,Gasolineras,-101.0186390036323,22.168418108493377,
G65,24,San Luis Potosí,Gasolineras,-101.01917008098906,22.168105132130442,
G66,24,San Luis Potosí,Gasolineras,-101.01870337664522,22.168323718869978,
G67,24,San Luis Potosí,Gasolineras,-101.01730126151043,22.171670425489356,
G68,24,San Luis Potosí,Gasolineras,-103.42013540094548,25.58302412202965,
G69,24,San Luis Potosí,Gasolineras,-100.95745006102676,22.134002569215188,
G70,24,San Luis Potosí,Gasolineras,-100.9286834,22.17195370588397,
G71,24,San Luis Potosí,Gasolineras,-100.95346558427167,22.183791453764517,
G72,24,San Luis Potosí,Gasolineras,-100.94720706509209,22.19079254,
G73,24,San Luis Potosí,Gasolineras,-100.94076264650538,22.195950483476395,
G74,24,San Luis Potosí,Gasolineras,-100.9404193237697,22.195990218670808,
G75,24,San Luis Potosí,Gasolineras,-100.94715703591149,22.191579075658705,
G77,24,San Luis Potosí,Gasolineras,-100.95596043219066,22.157675194255344,
G78,24,San Luis Potosí,Gasolineras,-100.97172050642956,22.17104553986227,
G79,24,San Luis Potosí,Gasolineras,-100.97729950433916,22.169773315007035,
G80,24,San Luis Potosí,Gasolineras,-101.03322065307741,22.184412354907778,
G81,24,San Luis Potosí,Gasolineras,-101.0231064397229,22.202295618503573,
G82,24,San Luis Potosí,Gasolineras,-101.022806,22.20344741467208,
G83,24,San Luis Potosí,Gasolineras,-100.9570339591778,22.1586869142163,
G84,24,San Luis Potosí,Gasolineras,-100.95717348314064,22.15928285,
G85,24,San Luis Potosí,Gasolineras,-100.9355385,22.11477479536071,
G86,24,San Luis Potosí,Gasolineras,-101.0184339,22.202376894365432,
G87,24,San Luis Potosí,Gasolineras,-101.00007202608549,22.163735877683067,
G88,24,San Luis Potosí,Gasolineras,-101.00521197636868,22.137663195644752,
G89,24,San Luis Potosí,Gasolineras,-101.01802200046464,22.127519112069475,
G90,24,San Luis Potosí,Gasolineras,-100.9832385,22.17269380589431,
G91,24,San Luis Potosí,Gasolineras,-100.941997762387,22.109103716738634,
G92,24,San Luis Potosí,Gasolineras,-100.97177648034206,22.170359187564653,
G93,24,San Luis Potosí,Gasolineras,-100.97574020381303,22.16839745815313,
G94,24,San Luis Potosí,Gasolineras,-101.02341252324749,22.596019892959063,
G95,24,San Luis Potosí,Gasolineras,-100.9240465456847,22.14100655,
G96,24,San Luis Potosí,Gasolineras,-101.002043886521,22.157084731027016,
G97,24,San Luis Potosí,Gasolineras,-101.01808086878447,22.12675453119623,
G98,24,San Luis Potosí,Gasolineras,-101.0168443,22.17099558467775,
G100,24,San Luis Potosí,Gasolineras,-100.94389209338243,22.1561501215222,
G101,24,San Luis Potosí,Gasolineras,-100.9243227527354,22.132769794611796,
G102,24,San Luis Potosí,Gasolineras,-100.98410755062174,22.150726751066657,
G103,24,San Luis Potosí,Gasolineras,-100.9341352379778,22.12836781,
G105,24,San Luis Potosí,Gasolineras,-101.02340014753173,22.20183398585721,
G106,24,San Luis Potosí,Gasolineras,-100.92904017452038,22.133351241188155,
G107,24,San Luis Potosí,Gasolineras,-101.03273769747484,22.138176117419718,
G108,24,San Luis Potosí,Gasolineras,-101.03445475351519,22.14161444892246,
G109,24,San Luis Potosí,Gasolineras,-101.01962081500072,22.14172721346469,
G111,24,San Luis Potosí,Gasolineras,-100.9676285,22.23471811,
G112,24,San Luis Potosí,Gasolineras,-101.0113299,22.17703855857825,
G113,24,San Luis Potosí,Gasolineras,-101.00121725443876,22.166600515969552,
G114,24,San Luis Potosí,Gasolineras,-100.91119372400466,22.122182173105987,
G115,24,San Luis Potosí,Gasolineras,-100.94035348886355,22.177241103298233,
G116,24,San Luis Potosí,Gasolineras,-100.9557704593708,22.144770129018493,
G117,24,San Luis Potosí,Gasolineras,-101.00002031684872,22.160958936255152,
G120,24,San Luis Potosí,Gasolineras,-100.99932630339299,22.1478419202666,
G121,24,San Luis Potosí,Gasolineras,-100.91975491315274,22.123649080177902,
G122,24,San Luis Potosí,Gasolineras,-100.91607512779869,22.145293408225907,
G123,24,San Luis Potosí,Gasolineras,-100.93264026102601,22.168494236110558,
